A000,Cholera due to Vibrio cholerae 01 biovar cholerae,,Cholera,Intestinal infectious diseases
A001,Cholera due to Vibrio cholerae 01 biovar eltor,,Cholera,Intestinal infectious diseases
A009,Cholera unspecified,,Cholera,Intestinal infectious diseases
A0100,Typhoid fever unspecified,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0101,Typhoid meningitis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0102,Typhoid fever with heart involvement,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0103,Typhoid pneumonia,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0104,Typhoid arthritis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0105,Typhoid osteomyelitis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A0109,Typhoid fever with other complications,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A010,Typhoid fever,,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A011,Paratyphoid fever A,,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A012,Paratyphoid fever B,,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A013,Paratyphoid fever C,,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A014,Paratyphoid fever unspecified,,Typhoid and paratyphoid fevers,Intestinal infectious diseases
A020,Salmonella enteritis,,Other salmonella infections,Intestinal infectious diseases
A021,Salmonella sepsis,,Other salmonella infections,Intestinal infectious diseases
A0220,Localized salmonella infection unspecified,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0221,Salmonella meningitis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0222,Salmonella pneumonia,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0223,Salmonella arthritis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0224,Salmonella osteomyelitis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0225,Salmonella pyelonephritis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A0229,Salmonella with other localized infection,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases
A022,Localized salmonella infections,,Other salmonella infections,Intestinal infectious diseases
A028,Other specified salmonella infections,,Other salmonella infections,Intestinal infectious diseases
A029,Salmonella infection unspecified,,Other salmonella infections,Intestinal infectious diseases
A030,Shigellosis due to Shigella dysenteriae,,Shigellosis,Intestinal infectious diseases
